transaction_id,account_id,timestamp,amount,type,is_fraud_flag
TXN000000,ACC1409,2024-01-01T09:00:00,510.03,DEPOSIT,0
TXN000001,ACC3286,2024-01-01T09:00:30,140.45,TRANSFER,0
TXN000002,ACC9935,2024-01-01T09:01:00,564.59,TRANSFER,0
TXN000003,ACC1520,2024-01-01T09:01:30,446.4,TRANSFER,0
TXN000004,ACC4811,2024-01-01T09:02:00,49.19,TRANSFER,0
TXN000005,ACC9928,2024-01-01T09:02:30,411.91,PAYMENT,0
TXN000006,ACC5557,2024-01-01T09:03:00,124.51,TRANSFER,0
TXN000007,ACC3615,2024-01-01T09:03:30,711.08,PAYMENT,0
TXN000008,ACC3547,2024-01-01T09:04:00,207.95,WITHDRAWAL,0
TXN000009,ACC6514,2024-01-01T09:04:30,1575.76,TRANSFER,0
TXN000010,ACC2584,2024-01-01T09:05:00,48.67,DEPOSIT,0
TXN000011,ACC5333,2024-01-01T09:05:30,940.28,TRANSFER,0
TXN000012,ACC9785,2024-01-01T09:06:00,654.17,TRANSFER,0
TXN000013,ACC7201,2024-01-01T09:06:30,1808.11,TRANSFER,0
TXN000014,ACC6925,2024-01-01T09:07:00,401.53,WITHDRAWAL,0
TXN000015,ACC1750,2024-01-01T09:07:30,609.66,WITHDRAWAL,0
TXN000016,ACC2307,2024-01-01T09:08:00,741.55,WITHDRAWAL,0
TXN000017,ACC7227,2024-01-01T09:08:30,1006.77,DEPOSIT,0
TXN000018,ACC6977,2024-01-01T09:09:00,302.03,WITHDRAWAL,0
TXN000019,ACC4432,2024-01-01T09:09:30,231.16,DEPOSIT,0
TXN000020,ACC2169,2024-01-01T09:10:00,605.03,WITHDRAWAL,0
TXN000021,ACC5010,2024-01-01T09:10:30,381.93,WITHDRAWAL,0
TXN000022,ACC5422,2024-01-01T09:11:00,310.19,WITHDRAWAL,0
TXN000023,ACC1916,2024-01-01T09:11:30,576.98,WITHDRAWAL,0
TXN000024,ACC6168,2024-01-01T09:12:00,862.43,PAYMENT,0
TXN000025,ACC4456,2024-01-01T09:12:30,155.81,DEPOSIT,0
TXN000026,ACC9179,2024-01-01T09:13:00,119.53,PAYMENT,0
TXN000027,ACC8517,2024-01-01T09:13:30,1080.04,WITHDRAWAL,0
TXN000028,ACC5040,2024-01-01T09:14:00,153.86,DEPOSIT,0
TXN000029,ACC8019,2024-01-01T09:14:30,687.21,PAYMENT,0
TXN000030,ACC3266,2024-01-01T09:15:00,224.71,PAYMENT,0
TXN000031,ACC1771,2024-01-01T09:15:30,47.66,TRANSFER,0
TXN000032,ACC3621,2024-01-01T09:16:00,82.93,PAYMENT,0
TXN000033,ACC7304,2024-01-01T09:16:30,453.68,PAYMENT,0
TXN000034,ACC8668,2024-01-01T09:17:00,453.03,DEPOSIT,0
TXN000035,ACC1188,2024-01-01T09:17:30,1771.58,TRANSFER,0
TXN000036,ACC9797,2024-01-01T09:18:00,572.4,DEPOSIT,0
TXN000037,ACC6573,2024-01-01T09:18:30,731.8,TRANSFER,0
TXN000038,ACC3591,2024-01-01T09:19:00,173.72,PAYMENT,0
TXN000039,ACC5315,2024-01-01T09:19:30,1.63,WITHDRAWAL,0
TXN000040,ACC2743,2024-01-01T09:20:00,354.31,DEPOSIT,0
TXN000041,ACC9317,2024-01-01T09:20:30,921.53,WITHDRAWAL,0
TXN000042,ACC3646,2024-01-01T09:21:00,82.93,TRANSFER,0
TXN000043,ACC9005,2024-01-01T09:21:30,456.83,TRANSFER,0
TXN000044,ACC6947,2024-01-01T09:22:00,59.32,DEPOSIT,0
TXN000045,ACC4946,2024-01-01T09:22:30,136.86,TRANSFER,0
TXN000046,ACC8962,2024-01-01T09:23:00,44.77,TRANSFER,0
TXN000047,ACC9727,2024-01-01T09:23:30,1908.0,WITHDRAWAL,0
TXN000048,ACC8787,2024-01-01T09:24:00,68.71,WITHDRAWAL,0
TXN000049,ACC7932,2024-01-01T09:24:30,153.98,WITHDRAWAL,0
TXN000050,ACC4295,2024-01-01T09:25:00,1321.93,DEPOSIT,0
TXN000051,ACC7118,2024-01-01T09:25:30,254.57,PAYMENT,0
TXN000052,ACC8397,2024-01-01T09:26:00,1149.37,TRANSFER,0
TXN000053,ACC2049,2024-01-01T09:26:30,142.45,DEPOSIT,0
TXN000054,ACC4770,2024-01-01T09:27:00,10.63,WITHDRAWAL,0
TXN000055,ACC1964,2024-01-01T09:27:30,3.61,WITHDRAWAL,0
TXN000056,ACC1514,2024-01-01T09:28:00,34.89,DEPOSIT,0
TXN000057,ACC4899,2024-01-01T09:28:30,36.75,DEPOSIT,0
TXN000058,ACC4510,2024-01-01T09:29:00,552.78,WITHDRAWAL,0
TXN000059,ACC8744,2024-01-01T09:29:30,642.51,WITHDRAWAL,0
TXN000060,ACC7669,2024-01-01T09:30:00,767.67,WITHDRAWAL,0
TXN000061,ACC8062,2024-01-01T09:30:30,49.54,DEPOSIT,0
TXN000062,ACC8651,2024-01-01T09:31:00,275.46,TRANSFER,0
TXN000063,ACC2612,2024-01-01T09:31:30,559.46,TRANSFER,0
TXN000064,ACC6559,2024-01-01T09:32:00,257.6,TRANSFER,0
TXN000065,ACC4116,2024-01-01T09:32:30,142.95,PAYMENT,0
TXN000066,ACC4006,2024-01-01T09:33:00,75.52,DEPOSIT,0
TXN000067,ACC2235,2024-01-01T09:33:30,310.53,PAYMENT,0
TXN000068,ACC2604,2024-01-01T09:34:00,825.19,TRANSFER,0
TXN000069,ACC9856,2024-01-01T09:34:30,527.98,TRANSFER,0
TXN000070,ACC4872,2024-01-01T09:35:00,1736.82,WITHDRAWAL,0
TXN000071,ACC8886,2024-01-01T09:35:30,260.79,WITHDRAWAL,0
TXN000072,ACC1960,2024-01-01T09:36:00,999.95,WITHDRAWAL,0
TXN000073,ACC7396,2024-01-01T09:36:30,238.19,DEPOSIT,0
TXN000074,ACC8454,2024-01-01T09:37:00,1305.36,DEPOSIT,0
TXN000075,ACC8973,2024-01-01T09:37:30,274.96,WITHDRAWAL,0
TXN000076,ACC4566,2024-01-01T09:38:00,105.3,TRANSFER,0
TXN000077,ACC9883,2024-01-01T09:38:30,432.78,TRANSFER,0
TXN000078,ACC1936,2024-01-01T09:39:00,689.11,TRANSFER,0
TXN000079,ACC9238,2024-01-01T09:39:30,438.75,WITHDRAWAL,0
TXN000080,ACC9320,2024-01-01T09:40:00,29.28,TRANSFER,0
TXN000081,ACC2122,2024-01-01T09:40:30,953.06,TRANSFER,0
TXN000082,ACC4853,2024-01-01T09:41:00,562.29,PAYMENT,0
TXN000083,ACC5033,2024-01-01T09:41:30,63.85,TRANSFER,0
TXN000084,ACC7868,2024-01-01T09:42:00,482.98,DEPOSIT,0
TXN000085,ACC4346,2024-01-01T09:42:30,1364.43,DEPOSIT,0
TXN000086,ACC7484,2024-01-01T09:43:00,136.35,WITHDRAWAL,0
TXN000087,ACC5915,2024-01-01T09:43:30,556.9,PAYMENT,0
TXN000088,ACC2188,2024-01-01T09:44:00,190.03,TRANSFER,0
